delta_encoder,mag_orient
0.0,-1.2386574344751
0.0,-1.1057088136921969
0.0,-1.1735934952295148
0.0,-1.18006753657598
0.0,-1.0626274923083254
0.0,-1.1022468481289833
0.0,-1.0586014756287978
0.0,-1.1868664788010133
0.0,-1.143502367786325
0.0,-1.137821202322058
0.0,-0.9971870506330126
0.0,-1.177417426871456
0.0,-1.1651396423822737
0.0,-1.1181025850162407
0.0,-1.215218298683765
0.0,-1.1879329337786708
0.0,-1.0871250884105612
0.0,-1.1185001013146836
0.0,-0.9255523075009847
0.0,-1.0639493907385729
0.0,-1.222276082714148
0.0,-1.2056160348615488
0.0,-1.149047568885119
0.0,-1.323878944101158
0.0,-1.231680819705437
0.0,-1.1435857833803897
0.0,-1.2211558775505678
0.0,-1.1893935329872145
0.0,-1.1988280266637177
0.0,-1.0844294576001672
0.0,-0.9826062769887662
0.0,-1.172574655874537
0.0,-1.0569915562501344
0.0,-1.2793037294165168
0.0,-1.079092813772955
0.0,-1.062603183839742
0.0,-1.1957473221653487
0.0,-1.154405616214287
0.0,-1.0752602052365254
0.0,-1.214624255667829
0.0,-1.0868548893781276
0.0,-1.1486799084765669
0.0,-1.1281164439173426
0.0,-1.0983579628979496
0.0,-1.1444517927316462
0.0,-1.112558958720365
0.0,-1.198229801109923
0.0,-1.0568452161465738
0.0,-1.1507733281364392
0.0,-1.1097343811287848
0.0,-1.1302225245902895
0.0,-1.1875332132650975
0.0,-1.1008390196593663
0.0,-1.0261407442225454
0.0,-1.1968727646706963
0.0,-1.3541897233027047
0.0,-1.0044826582191155
0.0,-1.0080585941090956
0.0,-1.0962426389494444
0.0,-0.9994545483118988
0.0,-1.1195093697892784
0.0,-1.0855188652225987
0.0,-1.1886041838825874
0.0,-1.3117932938896315
0.0,-0.842725297673982
0.0,-1.2652470980649595
0.0,-0.9714634171569283
0.0,-1.1484436145804622
0.0,-0.836558938309701
0.0,-0.998587462196696
0.0,-1.2272623420466813
0.0,-1.1718534673864824
0.0,-1.2060723315273711
0.0,-1.0943207869682858
0.0,-1.2119736275767903
0.0,-1.1194133579154861
0.0,-1.0956735864502682
0.0,-1.2159900452349843
0.0,-0.8840824387228267
0.0,-1.1324825213551915
0.0,-1.2390957838570964
0.0,-1.0003683886390877
0.0,-1.119262149525173
0.0,-1.0831015916697684
0.0,-1.1370467000014446
0.0,-1.2014188331819993
0.0,-1.1243877293552669
0.0,-1.1582507462010507
0.0,-1.1928803292212657
0.0,-1.1548644282631673
0.0,-1.2961363964898367
0.0,-1.1456584103193255
0.0,-1.0518288141988998
0.0,-1.1452677563735258
0.0,-1.201818021312475
0.0,-0.943840508936398
0.0,-1.1237941427974536
0.0,-0.982493309164243
0.0,-1.2167330038290594
0.0,-1.077790949712258
0.0,-0.8426668531474435
0.0,-1.1138662763937015
0.0,-1.2735026726980907
0.0,-1.0936866884073606
0.0,-1.1483441424726708
0.0,-1.191583875069014
0.0,-1.2726709237758842
0.0,-1.1944838662415083
0.0,-0.9752866187977408
0.0,-1.0240634341608137
0.0,-1.243301035670381
0.0,-1.1740608999441429
0.0,-0.9706766025750645
0.0,-1.1348860413739443
0.0,-1.1018649401492535
0.0,-1.1667183346852101
