active,angle,s0,s1,s2,s3,s4,line_position
False,112.188,0,0,0,0,0,0
False,111.776,0,0,0,0,0,0
False,111.435,0,0,0,0,0,0
False,111.131,0,0,0,0,0,0
False,110.82,0,0,0,0,0,0
False,110.499,0,0,0,0,0,0
False,110.197,0,0,0,0,0,0
False,109.925,0,0,0,0,0,0
False,109.679,0,0,0,0,0,0
False,109.455,0,0,0,0,0,0
False,109.257,0,0,0,0,0,0
False,109.117,0,0,0,0,0,0
False,109.025,0,0,0,0,0,0
False,108.957,0,0,0,0,0,0
False,108.883,0,0,0,0,0,0
False,108.808,0,0,0,0,0,0
False,108.756,0,0,0,0,0,0
False,108.736,0,0,0,0,0,0
False,108.739,0,0,0,0,0,0
False,108.706,0,0,0,0,0,0
False,108.6,0,0,0,0,0,0
False,108.426,0,0,0,0,0,0
False,108.206,0,0,0,0,0,0
False,107.962,0,0,0,0,0,0
False,107.68,0,0,0,0,0,0
False,107.351,0,0,0,0,0,0
False,106.984,0,0,0,0,0,0
False,106.559,0,0,0,0,0,0
False,106.057,0,0,0,0,0,0
False,105.449,0,0,0,0,0,0
False,104.659,0,0,0,0,0,0
False,103.737,0,0,0,0,0,0
False,102.734,0,0,0,0,0,0
False,101.72,0,0,0,0,0,0
False,100.746,0,0,0,0,0,0
False,99.904,0,0,0,0,0,0
False,99.307,0,0,0,0,0,0
False,98.935,0,0,0,0,0,0
False,98.7,0,0,0,0,0,0
False,98.527,0,0,0,0,0,0
False,98.358,0,0,0,0,0,0
False,98.123,0,0,0,0,0,0
False,97.748,0,0,0,0,0,0
False,97.224,0,0,0,0,0,0
False,96.599,0,0,0,0,0,0
False,95.852,0,0,0,0,0,0
False,94.962,0,0,0,0,0,0
False,93.945,0,0,0,0,0,0
False,92.823,0,0,0,0,0,0
False,91.617,0,0,0,0,0,0
False,90.376,0,0,0,0,0,0
False,89.137,0,0,0,0,0,0
False,87.871,0,0,0,0,0,0
False,86.549,0,0,0,0,0,0
False,85.15,0,0,0,0,0,0
False,83.737,0,0,0,0,0,0
