active,state,x,y,theta
1,3,499.9983033255771,0.4893185053622476,0.004775908564289251
1,3,508.8145718828331,0.52089790980028,0.0023879542821446274
1,3,514.773450611426,0.52089790980028,0.002387954282144081
1,3,524.0864103550063,0.5542564356150953,0.004775908564289251
1,3,533.5234980503254,0.5993274462410801,0.004775908564289251
1,3,539.7321083761933,0.6289794269160699,0.004775908564289251
1,3,549.4175404845471,0.6752365167690539,0.004775908564289251
1,3,555.626150810415,0.7048884974440437,0.004775908564289251
1,3,565.1874561471574,0.7391365839472698,0.0023879542821451743
1,3,574.2520702975755,0.77160554907369,0.004775908564290344
1,3,579.8397824169372,0.8049639480742395,0.007163862846435515
1,3,588.4074610957125,0.8765729029221746,0.009551817128579592
1,3,596.1058744971145,0.9501089763349121,0.009551817128579592
1,3,601.0725928205998,0.99755160434313,0.009551817128579592
1,3,608.3984118333437,1.0762763785055403,0.011939771410724762
1,3,612.8683436180089,1.129648878488212,0.011939771410724762
1,3,619.6974969349736,1.2030363798260857,0.009551817128580685
1,3,626.6509025878528,1.2694560590375972,0.009551817128580685
1,3,631.2451650677758,1.3078550638111102,0.007163862846435515
1,3,638.8196192740216,1.3530742269007443,0.004775908564290344
1,3,646.1457307194069,1.3968107944792427,0.007163862846435515
1,3,651.3608890453595,1.434172112590209,0.007163862846435515
1,3,659.3079480266126,1.453149362186456,-0.002387954282144074
1,3,664.5231757438505,1.4282417220913788,-0.007163862846433322
1,3,672.5941773977693,1.3607840110027754,-0.009551817128578492
1,3,680.6649949541821,1.27405332760351,-0.011939771410723662
1,3,685.7558183359195,1.2193462811516402,-0.009551817128579585
1,3,693.5783030444427,1.135284234164621,-0.011939771410723662
1,3,698.2964119045622,1.0676798385370792,-0.016715679975014004
1,3,705.0005576349606,0.9395907081244405,-0.021491588539303254
1,3,711.5804024150735,0.806017231432772,-0.019103634257158084
1,3,715.3049313605956,0.7348565357955444,-0.019103634257158084
1,3,721.0161145898304,0.6393813321232245,-0.014327725692868836
1,3,726.230871443896,0.5646606133107278,-0.014327725692868836
1,3,729.7073760132731,0.5148468007690634,-0.014327725692868836
1,3,735.0463800097261,0.44472163262766623,-0.011939771410723665
1,3,740.6338690872427,0.3846773133512514,-0.009551817128578496
1,3,744.7314545423092,0.35042955233702155,-0.007163862846434419
1,3,750.6916354862551,0.3077309030673526,-0.007163862846434419
1,3,754.9134303215501,0.2774860265013372,-0.007163862846434419
1,3,761.6186338834893,0.22945004607295896,-0.007163862846434419
1,3,768.5721783180929,0.1796349552583451,-0.007163862846434419
1,3,773.166440798016,0.1412359504848322,-0.009551817128579589
1,3,780.3681823670695,0.07244413987291708,-0.009551817128579589
1,3,787.4458299712752,0.013288916302911,-0.007163862846434418
1,3,791.7918282863342,-0.012656505141960712,-0.004775908564289248
1,3,798.4971274382715,-0.04468064427094996,-0.004775908564289248
1,3,802.7189824598615,-0.06484399112994287,-0.004775908564289248
1,3,808.3067583060097,-0.0848591066188321,-0.0023879542821440775
1,3,813.3978429658335,-0.10309510073093951,-0.004775908564288155
1,3,816.3779759222501,-0.11732805145493154,-0.004775908564288155
1,3,821.0965197699097,-0.13986355676791878,-0.004775908564288155
