raw_mag_x,raw_mag_y,raw_mag_z,raw_acc_x,raw_acc_y,raw_acc_z
1291,-2080,3280,2199,8483,-14236
1722,-1580,3971,-2617,4370,-15019
1934,-828,4488,207,-2606,-13139
1924,1048,4563,3423,-2137,-12759
1748,2904,3185,-4242,-13934,-1814
1688,3362,2106,-1024,-16886,-502
1674,3357,1464,-6169,-16217,5871
1457,3348,787,-4017,-12029,10385
749,3150,-9,-5068,-9232,8878
-67,2689,-736,2192,-6049,12992
-928,1667,-1292,6447,5194,12561
-788,392,-1378,3484,12564,15334
-716,-474,-1080,3947,11292,15417
-1184,-986,-655,6308,8233,4853
-1219,-1410,-43,6355,17789,4079
-1218,-1562,220,5457,13460,6088
-1315,-1618,415,4809,20126,805
-1820,-1362,587,4174,12612,-3831
-1898,-1260,745,9361,13561,-6025
-1731,-1486,1318,6862,12238,965
-1118,-1835,1784,4781,18639,-3598
-451,-1520,3125,642,11558,-12240
346,-245,4314,-391,8838,-12432
1456,1377,4455,-8761,640,-13579
2153,2280,3991,-13576,-7761,-13313
2153,2280,3991,-11149,-12115,-9865
1638,3120,2988,-8158,-10069,-352
493,3546,1890,-4125,-12300,6450
169,3587,785,-3768,-13634,3253
-173,3385,179,1881,-13953,6165
-992,3040,-256,-1116,-9639,13801
-1288,2610,-683,1856,-10529,12081
-1395,2077,-1076,1694,-16798,6693
-1295,1797,-1167,6313,-3652,11278
-626,1333,-1495,389,24974,32764
717,135,-1324,-6651,1977,13854
183,-20,-1373,-2117,2622,17721
191,-319,-1247,-5623,5632,16265
266,-747,-1047,-6284,14188,7428
825,-1532,-410,-8751,17972,5762
982,-2326,781,-6157,16240,-872
513,-2434,1770,-3167,14870,-2387
269,-2273,2330,-3000,12458,-4155
402,-2215,2768,-3907,16988,-5170
821,-2161,2973,-6073,17820,-6029
1062,-2074,3237,-6143,15466,-5960
1130,-2066,3331,-4434,13449,-8417
1444,-2074,3297,-6793,14874,-6283
1552,-1911,3583,-6608,13598,-8613
1449,-1534,3976,-7591,12349,-14265
1051,-1099,4163,-6867,7944,-15484
1055,-382,4447,-6563,4988,-9436
812,693,4481,-5393,-3191,-8288
597,1830,4141,-1113,-6840,-12231
389,2266,3844,-1653,-7369,-19981
152,2361,3638,-2914,-8397,-13578
1,2542,3357,-427,-10698,-11624
-313,2648,3196,1126,-7855,-15032
-439,2644,3173,1,-11349,-11526
