calib_mag_orient,ref_orient,orient
265,0,-0.004775908564289514
266,0,-0.004775908564289514
271,0,-0.004775908564289514
278,0,-0.004775908564289514
276,0,-0.004775908564289514
266,0,-0.004775908564289514
273,0,-0.004775908564289514
276,0,-0.004775908564289514
271,0,-0.004775908564289514
253,0,-0.004775908564289514
260,0,-0.004775908564289514
253,0,-0.004775908564289514
255,0,-0.004775908564289514
250,0,-0.004775908564289514
251,0,-0.002387954282144617
246,0,-0.002387954282144617
270,0,2.8015784137025435e-16
264,0,0.0023879542821451773
264,0,0.007163862846434972
267,0,0.011939771410724765
264,0,0.014327725692869662
259,0,0.014327725692869662
280,0,0.016715679975014285
258,0,0.014327725692869388
269,0,0.016715679975014285
270,0,0.016715679975014285
273,0,0.009551817128579868
