raw_mag_x,raw_mag_y,raw_mag_z
-1704,1658,-557
-1704,1658,-557
-1704,1658,-557
-1704,1658,-557
-1704,1658,-557
-1620,1622,-703
-1620,1622,-703
-1620,1622,-703
-1620,1622,-703
-1620,1622,-703
-1620,1622,-703
-1620,1622,-703
-1620,1622,-703
-1401,1671,-113
-1401,1671,-113
-1401,1671,-113
-1401,1671,-113
-1401,1671,-113
-1401,1671,-113
-1401,1671,-113
-1328,1662,-494
-1328,1662,-494
-1328,1662,-494
-1328,1662,-494
-1328,1662,-494
-1328,1662,-494
-1328,1662,-494
-932,1746,-328
-932,1746,-328
-932,1746,-328
-932,1746,-328
-932,1746,-328
-932,1746,-328
-932,1746,-328
-683,1759,-198
-683,1759,-198
-683,1759,-198
-683,1759,-198
-683,1759,-198
-683,1759,-198
-683,1759,-198
-532,1822,-53
-532,1822,-53
-532,1822,-53
-532,1822,-53
-532,1822,-53
-532,1822,-53
-532,1822,-53
-592,1838,-51
-592,1838,-51
-592,1838,-51
-592,1838,-51
-592,1838,-51
-592,1838,-51
-592,1838,-51
-558,1904,198
-558,1904,198
-558,1904,198
-558,1904,198
-558,1904,198
-558,1904,198
-558,1904,198
-625,1893,296
-625,1893,296
-625,1893,296
-625,1893,296
-625,1893,296
-625,1893,296
-625,1893,296
-654,1965,507
-654,1965,507
-654,1965,507
-654,1965,507
-654,1965,507
-654,1965,507
-654,1965,507
-550,1918,1149
-550,1918,1149
-550,1918,1149
-550,1918,1149
-550,1918,1149
-550,1918,1149
-550,1918,1149
-569,1892,1546
-569,1892,1546
-569,1892,1546
-569,1892,1546
-569,1892,1546
-569,1892,1546
-569,1892,1546
-852,1806,1667
-852,1806,1667
-852,1806,1667
-852,1806,1667
-852,1806,1667
-852,1806,1667
-852,1806,1667
-1161,1683,2316
-1161,1683,2316
-1161,1683,2316
-1161,1683,2316
-1161,1683,2316
-1161,1683,2316
-1161,1683,2316
-1752,1479,1879
-1752,1479,1879
-1752,1479,1879
-1752,1479,1879
-1752,1479,1879
-1752,1479,1879
-1752,1479,1879
-2144,1415,1667
-2144,1415,1667
-2144,1415,1667
-2144,1415,1667
-2144,1415,1667
-2144,1415,1667
-2144,1415,1667
-2531,1377,1333
-2531,1377,1333
-2531,1377,1333
-2531,1377,1333
-2531,1377,1333
-2531,1377,1333
-2531,1377,1333
-3010,1202,807
-3010,1202,807
-3010,1202,807
-3010,1202,807
-3010,1202,807
-3010,1202,807
-3010,1202,807
-3230,1139,-25
-3230,1139,-25
-3230,1139,-25
-3230,1139,-25
-3230,1139,-25
-3230,1139,-25
-3230,1139,-25
-3123,1034,-758
-3123,1034,-758
-3123,1034,-758
-3123,1034,-758
-3123,1034,-758
-3123,1034,-758
-3123,1034,-758
-2973,806,-1225
-2973,806,-1225
-2973,806,-1225
-2973,806,-1225
-2973,806,-1225
-2973,806,-1225
-2973,806,-1225
-2973,806,-1225
-2805,379,-1590
